index,models,value
0,Real,99.0
1,Real,99.0
2,Real,189.0
3,Real,191.0
4,Real,276.0
5,Real,288.0
6,Real,373.0
7,Real,385.0
0,CounTR,262.1666666666667
1,CounTR,70.83333333333333
2,CounTR,284.3333333333333
3,CounTR,121.83333333333333
4,CounTR,149.33333333333334
5,CounTR,203.5
6,CounTR,74.66666666666667
7,CounTR,312.6666666666667
0,DeepData,102.33333333333333
1,DeepData,95.5
2,DeepData,181.16666666666666
3,DeepData,194.0
4,DeepData,236.5
5,DeepData,285.5
6,DeepData,180.5
7,DeepData,362.3333333333333
0,Grounded,149.83333333333334
1,Grounded,254.5
2,Grounded,71.83333333333333
3,Grounded,262.8333333333333
4,Grounded,71.83333333333333
5,Grounded,235.16666666666666
6,Grounded,54.666666666666664
7,Grounded,185.5
0,SAM,90.5
1,SAM,36.333333333333336
2,SAM,62.0
3,SAM,123.66666666666667
4,SAM,106.66666666666667
5,SAM,129.33333333333334
6,SAM,87.83333333333333
7,SAM,168.0
0,TrainingFree,3.1666666666666665
1,TrainingFree,3.1666666666666665
2,TrainingFree,3.3333333333333335
3,TrainingFree,2.1666666666666665
4,TrainingFree,6.5
5,TrainingFree,2.0
6,TrainingFree,4.333333333333333
7,TrainingFree,1.6666666666666667
